trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
41,2023-10-31,Philadelphia 76ers,Incoming,Pick,,,,2026,1,least favorable of HOU-LAC-OKC,,
41,2023-10-31,Philadelphia 76ers,Incoming,Pick,,,,2028,1,unprotected,,
41,2023-10-31,Philadelphia 76ers,Incoming,Pick,,,,2029,1,"PHI right to swap, top-3 protected",,
41,2023-10-31,Philadelphia 76ers,Incoming,Pick,,,,2029,2,LAC pick,,
41,2023-10-31,Philadelphia 76ers,Outgoing,Player,James Harden,,,,,,,
41,2023-10-31,Philadelphia 76ers,Outgoing,Player,P.J. Tucker,,,,,,,
41,2023-10-31,Philadelphia 76ers,Outgoing,Player,Filip Petrusev,,,,,,,
41,2023-10-31,Oklahoma City Thunder,Incoming,Cash,,,,,,1100000,,$1.1 Million
41,2023-10-31,Oklahoma City Thunder,Incoming,Pick,,,,2027,1,OKC right to swap (OKC or DEN pick),,
41,2023-10-31,Oklahoma City Thunder,Outgoing,Pick,,,,2026,1,,,
42,2023-11-01,LA Clippers,Incoming,Cap Space,,,,,,,,1120000,+$1.12M CAP SPACE
42,2023-11-01,LA Clippers,Incoming,Player,Luka Mitrovic,30,SF,,,,,,
42,2023-11-01,Sacramento Kings,Outgoing,Cap Space,,,,,,,,1120000,-$1.12M CAP SPACE
42,2023-11-01,Sacramento Kings,Incoming,Player,Filip Petrusev,23,PF,,,,,"Salary: $1,119,563"
42,2023-11-01,Sacramento Kings,Incoming,Cash,,,,,,,,,Cash
43,2023-10-17,Houston Rockets,Incoming,Cap Space,,,,,,,,4510000,+$4.51M CAP SPACE
