trade_ids,team_id,team_abbreviation,season_end_year,trade_date,n_players_acquired,trade_classification,min_deltaP_acquired,games_pre,games_post,WPA_time_pre,WPA_time_post,WPA_rate_pre,WPA_rate_post,delta_WPA_time,conference,conf_rank_pre_trade,win_pct_pre_trade,objetivo_sazonal,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
"14,15",1610612741,CHI,2021,2021-03-25,5,Preenche Lacuna,-0.0421320771329598,43,29,-2.8503999999999996,-1.8526999999999996,-0.06628837209302324,-0.06388620689655171,0.0024021651964715313,East,10,0.4418604651162791,Intermediario,0,Ofensivo,1,Defensivo
30,1610612741,CHI,2025,2025-02-03,3,Redundante,0.0038717300661842025,50,32,11.86,10.41,0.2372,0.3253125,0.08811250000000001,East,10,0.42,Intermediario,3,Elite,0,Ofensivo
21,1610612742,DAL,2013,2013-02-21,1,Redundante,0.0006219134630600157,53,29,4.42,5.38,0.08339622641509434,0.18551724137931033,0.102121014964216,West,11,0.4528301886792453,Tanking,0,Ofensivo,1,Defensivo
40,1610612742,DAL,2015,2014-12-18,2,Preenche Lacuna,-0.0015793419729595477,27,54,7.37,4.01,0.27296296296296296,0.07425925925925926,-0.19870370370370372,West,6,0.7037037037037037,Contender,3,Elite,0,Ofensivo
23,1610612742,DAL,2017,2017-02-23,1,Preenche Lacuna,-0.005079132797921188,56,26,6.64,3.18,0.11857142857142856,0.12230769230769231,0.003736263736263748,West,12,0.39285714285714285,Tanking,1,Defensivo,2,Reconstrução
78,1610612742,DAL,2018,2018-02-08,1,Redundante,0.010071870088504915,54,28,7.15,2.4499999999999997,0.13240740740740742,0.0875,-0.044907407407407424,West,15,0.3148148148148148,Tanking,1,Defensivo,2,Reconstrução
39,1610612742,DAL,2019,2019-01-31,4,Preenche Lacuna,-0.08104132294177173,50,32,-1.4487000000000005,-4.656099999999999,-0.02897400000000001,-0.14550312499999996,-0.11652912499999994,West,12,0.46,Tanking,1,Defensivo,2,Reconstrução
31,1610612742,DAL,2020,2020-01-24,1,Preenche Lacuna,-0.03219961839575304,44,23,5.816508075300001,0.8497,0.1321933653477273,0.036943478260869564,-0.09524988708685773,West,5,0.6363636363636364,Contender,3,Elite,0,Ofensivo
30,1610612742,DAL,2020,2020-01-25,1,Preenche Lacuna,-0.03466778459880202,44,23,5.816508075300001,0.8497,0.1321933653477273,0.036943478260869564,-0.09524988708685773,West,5,0.6363636363636364,Contender,3,Elite,0,Ofensivo
17,1610612742,DAL,2022,2022-02-10,2,Preenche Lacuna,-0.004516391729054285,55,27,13.389999999999999,11.41,0.24345454545454542,0.4225925925925926,0.17913804713804715,West,5,0.5818181818181818,Contender,1,Defensivo,1,Defensivo
