trade_id,team_id,team_abbreviation,season_end_year,trade_date,player_id,player_name,posicao,RCP_pos_bar_pre_trade,muP_asof,deltaP,preenche_lacuna,RCP_pos_bar_post_trade,deltaP_post_trade,gap_fechada,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
22,1610612750,MIN,2020,2020-02-06,1626156,D'Angelo Russell,Guards,0.01230784015375991,0.0016111065230566101,0.0106967336307033,Redundante,-0.11449786764228344,-0.11917010633458376,N/A (nao era lacuna),1,Ofensivo,1,Ofensivo
22,1610612750,MIN,2020,2020-02-06,1628980,Jacob Evans,Guards,0.01230784015375991,0.0016111065230566101,0.0106967336307033,Redundante,-0.11449786764228344,-0.11917010633458376,N/A (nao era lacuna),1,Ofensivo,1,Ofensivo
22,1610612750,MIN,2020,2020-02-06,1629016,Omari Spellman,Forwards,0.0011592856570833664,0.009267634004295509,-0.008108348347212142,Preenche Lacuna,0.12988439806897148,0.07423194969660415,Sim,1,Ofensivo,1,Ofensivo
37,1610612751,BKN,2021,2021-01-14,201935,James Harden,Guards,-0.13853294153187048,0.022302780515200245,-0.16083572204707072,Preenche Lacuna,0.036379398801384716,0.04092587007872179,Sim,2,Elite,0,Defensivo
39,1610612752,NYK,2019,2019-01-31,201599,DeAndre Jordan,Centers,0.011150801388293101,-0.011563862221298854,0.022714663609591956,Redundante,0.015940627045730852,0.006757363607742706,N/A (nao era lacuna),3,Reconstrução,3,Reconstrução
39,1610612752,NYK,2019,2019-01-31,1962936250,Wesley Matthews,Guards,-0.0005233397028428808,0.028873930938496398,-0.02939727064133928,Preenche Lacuna,0.004262718600953895,-0.0040436392301045,Melhorou,3,Reconstrução,3,Reconstrução
39,1610612752,NYK,2019,2019-01-31,1628372,Dennis Smith Jr.,Guards,-0.0005233397028428808,0.028873930938496398,-0.02939727064133928,Preenche Lacuna,0.004262718600953895,-0.0040436392301045,Melhorou,3,Reconstrução,3,Reconstrução
19,1610612752,NYK,2020,2020-02-06,203090,Maurice Harkless,Forwards,-0.005677035725060185,0.009267634004295509,-0.014944669729355695,Preenche Lacuna,0.03103289062712186,-0.02461955774524546,Nao,3,Reconstrução,1,Ofensivo
35,1610612752,NYK,2021,2021-02-07,201565,Derrick Rose,Guards,-0.029578879724079594,-0.0028486760729832736,-0.02673020365109632,Preenche Lacuna,0.019088463750764176,0.0071632466567542845,Sim,0,Defensivo,0,Defensivo
21,1610612753,ORL,2019,2019-02-07,1628365,Markelle Fultz,Guards,-0.047159661393254906,0.023834054632124888,-0.0709937160253798,Preenche Lacuna,0.034715154725889576,0.02966609554701808,Sim,3,Reconstrução,0,Defensivo
14,1610612753,ORL,2021,2021-03-25,203490,Otto Porter Jr.,Forwards,0.030522484593422283,0.014414560851604113,0.01610792374181817,Redundante,0.004726193935958785,-0.01617963875607968,N/A (nao era lacuna),3,Reconstrução,3,Reconstrução
14,1610612753,ORL,2021,2021-03-25,1628976,Wendell Carter Jr.,Centers,-0.003062735172691469,0.002263604744997538,-0.005326339917689007,Preenche Lacuna,0.02454795870661225,0.02633846967386835,Sim,3,Reconstrução,3,Reconstrução
16,1610612753,ORL,2021,2021-03-25,201952,Jeff Teague,Guards,-0.004732476693458083,0.006395762686680525,-0.011128239380138608,Preenche Lacuna,0.006440133071714681,-0.009519977551698693,Melhorou,3,Reconstrução,3,Reconstrução
25,1610612753,ORL,2021,2021-03-25,203914,Gary Harris,Guards,-0.004732476693458083,0.006395762686680525,-0.011128239380138608,Preenche Lacuna,0.006440133071714681,-0.009519977551698693,Melhorou,3,Reconstrução,3,Reconstrução
25,1610612753,ORL,2021,2021-03-25,1966938183,RJ Hampton,Guards,-0.004732476693458083,0.006395762686680525,-0.011128239380138608,Preenche Lacuna,0.006440133071714681,-0.009519977551698693,Melhorou,3,Reconstrução,3,Reconstrução
18,1610612754,IND,2019,2019-02-07,1627735,Wade Baldwin,Guards,0.027491890529020995,0.023834054632124888,0.0036578358968961076,Redundante,-0.01270295410982072,-0.017752013288692213,N/A (nao era lacuna),0,Defensivo,0,Defensivo
18,1610612754,IND,2019,2019-02-07,203917,Nik Stauskas,Guards,0.027491890529020995,0.023834054632124888,0.0036578358968961076,Redundante,-0.01270295410982072,-0.017752013288692213,N/A (nao era lacuna),0,Defensivo,0,Defensivo
37,1610612754,IND,2021,2021-01-14,1627747,Caris LeVert,Guards,0.16822442536914364,0.022302780515200245,0.1459216448539434,Redundante,-0.03860273083695967,-0.0340562595596226,N/A (nao era lacuna),0,Defensivo,0,Defensivo
32,1610612755,PHI,2019,2019-02-06,202699,Tobias Harris,Forwards,-0.008553486537132358,0.001290178777678038,-0.009843665314810396,Preenche Lacuna,0.009403929627780127,-0.005029026693363126,Melhorou,2,Elite,2,Elite
32,1610612755,PHI,2019,2019-02-06,1626246,Boban Marjanovic,Centers,-0.0070726200013849,-0.0008286317718814609,-0.0062439882295034395,Preenche Lacuna,-0.0528415856797142,-0.06185163868840091,Nao,2,Elite,2,Elite
32,1610612755,PHI,2019,2019-02-06,203118,Mike Scott,Forwards,-0.008553486537132358,0.001290178777678038,-0.009843665314810396,Preenche Lacuna,0.009403929627780127,-0.005029026693363126,Melhorou,2,Elite,2,Elite
36,1610612755,PHI,2019,2019-02-06,1627781,Malachi Richardson,Guards,0.03414462505703578,0.018216109163124442,0.015928515893911335,Redundante,0.07915194176621979,0.06749661137702039,N/A (nao era lacuna),2,Elite,2,Elite
36,1610612755,PHI,2019,2019-02-06,43315,Emir Preldzic,Forwards,-0.008553486537132358,0.001290178777678038,-0.009843665314810396,Preenche Lacuna,0.009403929627780127,-0.005029026693363126,Melhorou,2,Elite,2,Elite
21,1610612755,PHI,2019,2019-02-07,203613,Jonathon Simmons,Forwards,-0.008553486537132358,0.0028857874399276636,-0.011439273977060023,Preenche Lacuna,0.009403929627780127,-0.0082361816880404,Melhorou,2,Elite,2,Elite
31,1610612755,PHI,2019,2019-02-07,203516,James Ennis,Forwards,-0.008553486537132358,0.0028857874399276636,-0.011439273977060023,Preenche Lacuna,0.009403929627780127,-0.0082361816880404,Melhorou,2,Elite,2,Elite
