team_id,team_abbreviation,team_name,season_end_year,season_year,style_cluster,style_label,performance_cluster,performance_label
1610612749,MIL,Milwaukee Bucks,2020,2019-20,0,Alto Turnover,3,3: Elite Contenders
1610612749,MIL,Milwaukee Bucks,2021,2020-21,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
1610612749,MIL,Milwaukee Bucks,2022,2021-22,2,Time Cuidadoso (baixo turnover),3,3: Elite Contenders
1610612749,MIL,Milwaukee Bucks,2023,2022-23,0,Alto Turnover,3,3: Elite Contenders
1610612749,MIL,Milwaukee Bucks,2024,2023-24,0,Alto Turnover,3,3: Elite Contenders
1610612749,MIL,Milwaukee Bucks,2025,2024-25,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612750,MIN,Minnesota Timberwolves,2013,2012-13,0,Alto Turnover,2,2: Rebuilding / Lottery
1610612750,MIN,Minnesota Timberwolves,2014,2013-14,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612750,MIN,Minnesota Timberwolves,2015,2014-15,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612750,MIN,Minnesota Timberwolves,2016,2015-16,1,Aro Desguarnecido,1,1: Offensive / High Pace
1610612750,MIN,Minnesota Timberwolves,2017,2016-17,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612750,MIN,Minnesota Timberwolves,2018,2017-18,1,Aro Desguarnecido,1,1: Offensive / High Pace
1610612750,MIN,Minnesota Timberwolves,2019,2018-19,0,Alto Turnover,1,1: Offensive / High Pace
1610612750,MIN,Minnesota Timberwolves,2020,2019-20,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612750,MIN,Minnesota Timberwolves,2021,2020-21,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612750,MIN,Minnesota Timberwolves,2022,2021-22,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
1610612750,MIN,Minnesota Timberwolves,2023,2022-23,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612750,MIN,Minnesota Timberwolves,2024,2023-24,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612750,MIN,Minnesota Timberwolves,2025,2024-25,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612751,BKN,Brooklyn Nets,2013,2012-13,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612751,BKN,Brooklyn Nets,2014,2013-14,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612751,BKN,Brooklyn Nets,2015,2014-15,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612751,BKN,Brooklyn Nets,2016,2015-16,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612751,BKN,Brooklyn Nets,2017,2016-17,0,Alto Turnover,2,2: Rebuilding / Lottery
